tanggal;nominal
2021-03-20 00.00.00;6110000
2021-03-21 00.00.00;1890943
2021-03-22 00.00.00;1937342
2021-03-23 00.00.00;783104
2021-03-24 00.00.00;5328108
2021-03-25 00.00.00;6154500
2021-03-26 00.00.00;14252667
2021-03-27 00.00.00;22722313
2021-03-28 00.00.00;8730788
2021-03-29 00.00.00;1996945
2021-03-30 00.00.00;16079051
2021-03-31 00.00.00;5094128
2021-04-01 00.00.00;7529349
2021-04-02 00.00.00;13955382
2021-04-03 00.00.00;7724227
2021-04-04 00.00.00;2396000
2021-04-05 00.00.00;10077906
2021-04-06 00.00.00;884000
2021-04-07 00.00.00;2838328
2021-04-08 00.00.00;1077501
2021-04-09 00.00.00;6658045
2021-04-10 00.00.00;2552000
2021-04-11 00.00.00;559000
2021-04-12 00.00.00;4325000
2021-04-13 00.00.00;3640850
2021-04-14 00.00.00;2305000
2021-04-15 00.00.00;3117200
2021-04-16 00.00.00;6593100
2021-04-17 00.00.00;1325000
2021-04-18 00.00.00;1250000
2021-04-19 00.00.00;18814588
2021-04-20 00.00.00;1065153
2021-04-21 00.00.00;3999000
2021-04-22 00.00.00;7161500
2021-04-23 00.00.00;12379572
2021-04-24 00.00.00;7661000
2021-04-25 00.00.00;2655043
2021-04-26 00.00.00;7320000
2021-04-27 00.00.00;3855000
2021-04-28 00.00.00;6288443
2021-04-29 00.00.00;12772500
2021-04-30 00.00.00;25598209
2021-05-01 00.00.00;4283800
2021-05-02 00.00.00;15440211
2021-05-03 00.00.00;11041679
2021-05-04 00.00.00;39412966
2021-05-05 00.00.00;12522789
2021-05-06 00.00.00;29921963
2021-05-07 00.00.00;27385409
2021-05-08 00.00.00;11925344
2021-05-09 00.00.00;19126225
2021-05-10 00.00.00;37553233
2021-05-11 00.00.00;27403289
2021-05-12 00.00.00;91359623
2021-05-13 00.00.00;22875549
2021-05-14 00.00.00;3030356
2021-05-15 00.00.00;925000
2021-05-16 00.00.00;1550010
2021-05-17 00.00.00;5975000
2021-05-18 00.00.00;2440000
2021-05-19 00.00.00;4531025
2021-05-20 00.00.00;1526201
2021-05-21 00.00.00;5409690
2021-05-22 00.00.00;1261000
2021-05-23 00.00.00;345000
2021-05-24 00.00.00;4302750
2021-05-25 00.00.00;4535000
2021-05-26 00.00.00;14285000
2021-05-27 00.00.00;5685000
2021-05-28 00.00.00;19534127
2021-05-29 00.00.00;4238500
2021-05-30 00.00.00;3477000
2021-05-31 00.00.00;4945990
2021-06-01 00.00.00;3149500
2021-06-02 00.00.00;9065010
2021-06-03 00.00.00;4821000
2021-06-04 00.00.00;9690394
2021-06-05 00.00.00;4715640
2021-06-06 00.00.00;3223000
2021-06-07 00.00.00;8765342
2021-06-08 00.00.00;1747500
2021-06-09 00.00.00;1868875
2021-06-10 00.00.00;5528000
2021-06-11 00.00.00;9812000
2021-06-12 00.00.00;795000
2021-06-13 00.00.00;1755000
2021-06-14 00.00.00;4758000
2021-06-15 00.00.00;4445000
2021-06-16 00.00.00;6995718
2021-06-17 00.00.00;3733000
2021-06-18 00.00.00;11718601
2021-06-19 00.00.00;1345000
2021-06-20 00.00.00;2527577
2021-06-21 00.00.00;865000
2021-06-22 00.00.00;10925000
2021-06-23 00.00.00;1825353
2021-06-24 00.00.00;5763000
2021-06-25 00.00.00;9315000
2021-06-26 00.00.00;7075000
2021-06-27 00.00.00;2565000
2021-06-28 00.00.00;7093100
2021-06-29 00.00.00;8927009
2021-06-30 00.00.00;5772000
2021-07-01 00.00.00;8588400
2021-07-02 00.00.00;13810325
2021-07-03 00.00.00;2421000
2021-07-04 00.00.00;17823000
2021-07-05 00.00.00;2734963
2021-07-06 00.00.00;7088000
2021-07-07 00.00.00;8024000
2021-07-08 00.00.00;4820000
2021-07-09 00.00.00;8125071
2021-07-10 00.00.00;4946660
2021-07-11 00.00.00;4697500
2021-07-12 00.00.00;5947305
2021-07-13 00.00.00;4465000
2021-07-14 00.00.00;7964000
2021-07-15 00.00.00;7241500
2021-07-16 00.00.00;6252000
2021-07-17 00.00.00;10565591
2021-07-18 00.00.00;1040837
2021-07-19 00.00.00;2575000
2021-07-20 00.00.00;680000
2021-07-21 00.00.00;4100000
2021-07-22 00.00.00;2648000
2021-07-23 00.00.00;7794912
2021-07-24 00.00.00;3209000
2021-07-25 00.00.00;4237775
2021-07-26 00.00.00;2678000
2021-07-27 00.00.00;3913000
2021-07-28 00.00.00;9021500
2021-07-29 00.00.00;5185500
2021-07-30 00.00.00;8537509
2021-07-31 00.00.00;2370000
2021-08-01 00.00.00;4620215
2021-08-02 00.00.00;5006000
2021-08-03 00.00.00;2791500
2021-08-04 00.00.00;4587000
2021-08-05 00.00.00;1539311
2021-08-06 00.00.00;8458500
2021-08-07 00.00.00;12510000
2021-08-08 00.00.00;7311000
2021-08-09 00.00.00;33002
2021-08-10 00.00.00;11075067
2021-08-11 00.00.00;2055024
2021-08-12 00.00.00;3232375
2021-08-13 00.00.00;7470025
2021-08-14 00.00.00;3450974
2021-08-15 00.00.00;2663000
2021-08-16 00.00.00;2155000
2021-08-17 00.00.00;1113000
2021-08-18 00.00.00;17588374
2021-08-19 00.00.00;6324196
2021-08-20 00.00.00;9483048
2021-08-21 00.00.00;4063000
2021-08-22 00.00.00;3910252
2021-08-23 00.00.00;3531208
2021-08-24 00.00.00;3013100
2021-08-25 00.00.00;19889610
2021-08-26 00.00.00;7950440
2021-08-27 00.00.00;12272934
2021-08-28 00.00.00;6119500
2021-08-29 00.00.00;4165799
2021-08-30 00.00.00;1693573
2021-08-31 00.00.00;8233660
2021-09-01 00.00.00;8956012
2021-09-02 00.00.00;6083000
2021-09-03 00.00.00;12769163
2021-09-04 00.00.00;1824000
2021-09-05 00.00.00;3742773
2021-09-06 00.00.00;4373000
2021-09-07 00.00.00;4873042
2021-09-08 00.00.00;2297500
2021-09-09 00.00.00;12440000
2021-09-10 00.00.00;7552500
2021-09-11 00.00.00;2914849
2021-09-12 00.00.00;815464
2021-09-13 00.00.00;1476947
2021-09-14 00.00.00;15031025
2021-09-15 00.00.00;838000
2021-09-16 00.00.00;1008000
2021-09-17 00.00.00;6835525
2021-09-18 00.00.00;1738000
2021-09-19 00.00.00;3108000
2021-09-20 00.00.00;4453634
2021-09-21 00.00.00;783000
2021-09-22 00.00.00;1695500
2021-09-23 00.00.00;1748206
2021-09-24 00.00.00;18426775
2021-09-25 00.00.00;2729000
2021-09-26 00.00.00;1923999
2021-09-27 00.00.00;6760516
2021-09-28 00.00.00;5413682
2021-09-29 00.00.00;6950007
2021-09-30 00.00.00;6079105
2021-10-01 00.00.00;20440764
2021-10-02 00.00.00;3494500
2021-10-03 00.00.00;2815978
2021-10-04 00.00.00;6910000
2021-10-05 00.00.00;3681216
2021-10-06 00.00.00;2675000
2021-10-07 00.00.00;2825000
2021-10-08 00.00.00;7769530
2021-10-09 00.00.00;5480000
2021-10-10 00.00.00;960000
2021-10-11 00.00.00;2460001
2021-10-12 00.00.00;3323000
2021-10-13 00.00.00;2475144
2021-10-14 00.00.00;3770232
2021-10-15 00.00.00;9474035
2021-10-16 00.00.00;11697000
2021-10-17 00.00.00;1035000
2021-10-18 00.00.00;1860045
2021-10-19 00.00.00;6433257
2021-10-20 00.00.00;3010350
2021-10-21 00.00.00;3221000
2021-10-22 00.00.00;6885025
2021-10-23 00.00.00;1015558
2021-10-24 00.00.00;2913450
2021-10-25 00.00.00;7171000
2021-10-26 00.00.00;5547509
2021-10-27 00.00.00;1957000
2021-10-28 00.00.00;5052067
2021-10-29 00.00.00;10865000
2021-10-30 00.00.00;6588252
2021-10-31 00.00.00;2970000
2021-11-01 00.00.00;5785000
2021-11-02 00.00.00;4425882
2021-11-03 00.00.00;7650000
2021-11-04 00.00.00;2278000
2021-11-05 00.00.00;8832973
2021-11-06 00.00.00;3470000
2021-11-07 00.00.00;1835000
2021-11-08 00.00.00;2512000
2021-11-09 00.00.00;3027946
2021-11-10 00.00.00;4412024
2021-11-11 00.00.00;2811975
2021-11-12 00.00.00;8257013
2021-11-13 00.00.00;2771260
2021-11-14 00.00.00;12455000
2021-11-15 00.00.00;2413179
2021-11-16 00.00.00;2460187
2021-11-17 00.00.00;2240000
2021-11-18 00.00.00;8040000
2021-11-19 00.00.00;14136048
2021-11-20 00.00.00;3205251
2021-11-21 00.00.00;1413000
2021-11-22 00.00.00;3036359
2021-11-23 00.00.00;2060090
2021-11-24 00.00.00;1741489
2021-11-25 00.00.00;6052298
2021-11-26 00.00.00;18262608
2021-11-27 00.00.00;6125997
2021-11-28 00.00.00;6770118
2021-11-29 00.00.00;6149099
2021-11-30 00.00.00;4003812
2021-12-01 00.00.00;8334556
2021-12-02 00.00.00;11387924
2021-12-03 00.00.00;22130947
2021-12-04 00.00.00;4613792
2021-12-05 00.00.00;4150000
2021-12-06 00.00.00;5564750
2021-12-07 00.00.00;6216234
2021-12-08 00.00.00;3501680
2021-12-09 00.00.00;5748135
2021-12-10 00.00.00;14366974
2021-12-11 00.00.00;2780267
2021-12-12 00.00.00;1280856
2021-12-13 00.00.00;3805990
2021-12-14 00.00.00;2358125
2021-12-15 00.00.00;2181741
2021-12-16 00.00.00;2170731
2021-12-17 00.00.00;7881383
2021-12-18 00.00.00;2322869
2021-12-19 00.00.00;70000
2021-12-20 00.00.00;7695000
2021-12-21 00.00.00;8529250
2021-12-22 00.00.00;3325194
